新聞嗅探,#genre#
parse=1
東森新聞,https://www.histar.tv/live/ebc-news
TVBS新聞,https://www.histar.tv/live/tvbs-news
中天新聞,https://www.histar.tv/live/cti-news
中視新聞,https://www.histar.tv/live/ctv-news
寰宇新聞,https://www.histar.tv/live/global-news
台視新聞,https://www.histar.tv/live/ttv-news
非凡新聞,https://www.histar.tv/live/ustv-news
華視新聞,https://www.histar.tv/live/cts-news
壹新聞,https://www.histar.tv/live/nexttv
鏡新聞,https://www.histar.tv/live/mnews

其他嗅探,#genre#
parse=1
緯來日本,https://www.histar.tv/live/videoland-japan
東森綜合台,https://www.histar.tv/live/ebc-ettv
星衛娛樂台,https://www.histar.tv/live/star-entetainment
東森幼幼,https://www.histar.tv/live/ebc-yoyo
迪士尼,https://www.histar.tv/live/disney
MOMO親子,https://www.histar.tv/live/momo-kids
ANIMAX,https://www.histar.tv/live/animax-cartoon
TVBS歡樂台,https://www.histar.tv/live/tvbs-huanle
MTV LIVE,https://www.histar.tv/live/mtv
動物星球,https://www.histar.tv/live/animal-planet

L新聞嗅探,#genre#
parse=1
東森新聞,https://today.line.me/tw/v2/article/grrvVZ
TVBS新聞,https://today.line.me/tw/v2/article/jggMBa
民視新聞,https://today.line.me/tw/v2/article/PNNoG5

其他新聞嗅探,#genre#
parse=1
寰宇新聞,https://m.4gtv.tv/channel/litv-longturn15?set=1&ch=280
民視新聞,https://m.4gtv.tv/channel/litv-ftv13?set=1&ch=31
東森新聞,https://m.4gtv.tv/channel/4gtv-live114?set=1&ch=234
TVBS新聞,https://m.4gtv.tv/channel/4gtv-live072?set=1&ch=129
中視新聞,https://m.4gtv.tv/channel/4gtv-4gtv074?set=1&ch=33
鏡新聞,https://m.4gtv.tv/channel/4gtv-4gtv075?set=1&ch=268
華視新聞,https://m.4gtv.tv/channel/4gtv-4gtv052?set=1&ch=34
三立INEW,https://m.4gtv.tv/channel/4gtv-live089?set=1&ch=229
中天新聞,https://m.4gtv.tv/channel/4gtv-4gtv009?set=1&ch=30
